Company,Location,Date,Time,Rocket,Mission,RocketStatus,Price,MissionStatus
CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",1992-10-06,06:20:00,Long March 2C,"FSW-1 No.4, Freja",Active,30.8,Success
NASA,"LC-39B, Kennedy Space Center, Florida, USA",1992-10-22,17:09:00,Space Shuttle Columbia,STS-52,Retired,450.0,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1992-12-02,13:24:00,Space Shuttle Discovery,STS-53,Retired,450.0,Success
NASA,"LC-39B, Kennedy Space Center, Florida, USA",1993-01-13,13:59:00,Space Shuttle Endeavour,STS-54,Retired,450.0,Success
Northrop,"NB-52B Carrier, Cape Canaveral AFS, Florida, USA",1993-02-09,14:30:00,Pegasus,SCD-1,Retired,40.0,Success
NASA,"LC-39B, Kennedy Space Center, Florida, USA",1993-04-08,05:29:00,Space Shuttle Discovery,STS-56,Retired,450.0,Success
Northrop,"NB-52B Carrier, Edwards AFB, California, USA",1993-04-25,13:56:00,Pegasus,ALEXIS,Retired,40.0,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1993-04-26,14:50:00,Space Shuttle Columbia,STS-55,Retired,450.0,Success
NASA,"LC-39B, Kennedy Space Center, Florida, USA",1993-06-21,13:07:00,Space Shuttle Endeavour,STS-57,Retired,450.0,Success
NASA,"LC-39B, Kennedy Space Center, Florida, USA",1993-09-12,11:45:00,Space Shuttle Discovery,STS-51,Retired,450.0,Success
ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",1993-09-20,05:12:00,PSLV-G,IRS-P1,Retired,25.0,Failure
Martin Marietta,"SLC-4W, Vandenberg AFB, California, USA",1993-10-05,17:56:00,Titan II(23)G,Landsat 6,Retired,35.0,Failure
CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",1993-10-08,08:00:00,Long March 2C,FSW-1 No.5,Active,30.8,Success
NASA,"LC-39B, Kennedy Space Center, Florida, USA",1993-10-18,14:53:00,Space Shuttle Columbia,STS-58,Retired,450.0,Success
NASA,"LC-39B, Kennedy Space Center, Florida, USA",1993-12-02,09:27:00,Space Shuttle Endeavour,STS-61,Retired,450.0,Success
Martin Marietta,"SLC-4W, Vandenberg AFB, California, USA",1994-01-25,16:34:00,Titan II(23)G,Clementine,Retired,35.0,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1994-02-03,12:10:00,Space Shuttle Discovery,STS-60,Retired,450.0,Success
CASC,"LC-2, Xichang Satellite Launch Center, China",1994-02-08,08:34:00,Long March 3A,"Shijian 4, Kuafu-1 (mass simulator)",Active,69.7,Success
NASA,"LC-39B, Kennedy Space Center, Florida, USA",1994-03-04,13:53:00,Space Shuttle Columbia,STS-62,Retired,450.0,Success
Northrop,"SLC-576E, Vandenberg AFB, California, USA",1994-03-13,22:32:00,Minotaur C (Taurus),STEP Mission 0 & DARPASAT,Active,45.0,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1994-04-09,11:05:00,Space Shuttle Endeavour,STS-59,Retired,450.0,Success
Northrop,"NB-52B Carrier, Edwards AFB, California, USA",1994-05-19,17:03:00,Pegasus/HAPS,STEP-2,Retired,40.0,Partial Failure
Northrop,"Stargazer, Vandenberg AFB, California, USA",1994-06-27,21:15:00,Pegasus XL,STEP-1,Active,40.0,Failure
CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",1994-07-03,08:00:00,Long March 2D,FSW-2 No.2,Active,29.75,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1994-07-08,04:43:00,Space Shuttle Columbia,STS-65,Retired,450.0,Success
Northrop,"NB-52B Carrier, Edwards AFB, California, USA",1994-09-03,14:38:00,Pegasus,APEX,Retired,40.0,Success
NASA,"LC-39B, Kennedy Space Center, Florida, USA",1994-09-09,22:22:00,Space Shuttle Discovery,STS-64,Retired,450.0,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1994-09-30,11:16:00,Space Shuttle Endeavour,STS-68,Retired,450.0,Success
ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",1994-10-15,05:05:00,PSLV-G,IRS-P2,Retired,25.0,Success
NASA,"LC-39B, Kennedy Space Center, Florida, USA",1994-11-03,16:59:00,Space Shuttle Atlantis,STS-66,Retired,450.0,Success
CASC,"LC-2, Xichang Satellite Launch Center, China",1994-11-29,17:02:00,Long March 3A,Chinasat-5,Active,69.7,Partial Failure
NASA,"LC-39B, Kennedy Space Center, Florida, USA",1995-02-03,05:22:00,Space Shuttle Discovery,STS-63,Retired,450.0,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1995-03-02,06:38:00,Space Shuttle Endeavour,STS-67,Retired,450.0,Success
Northrop,"Stargazer, Vandenberg AFB, California, USA",1995-04-03,13:48:00,Pegasus,Orbcomm F1 and F2 & OrbView-1,Retired,40.0,Success
Northrop,"Stargazer, Vandenberg AFB, California, USA",1995-06-22,19:58:00,Pegasus XL,STEP-3,Active,40.0,Failure
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1995-06-27,19:32:00,Space Shuttle Atlantis,STS-71,Retired,450.0,Success
NASA,"LC-39B, Kennedy Space Center, Florida, USA",1995-07-13,13:41:00,Space Shuttle Discovery,STS-70,Retired,450.0,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1995-09-07,15:09:00,Space Shuttle Endeavour,STS-69,Retired,450.0,Success
NASA,"LC-39B, Kennedy Space Center, Florida, USA",1995-10-20,13:53:00,Space Shuttle Columbia,STS-73,Retired,450.0,Success
EER,"LP-0A, Wallops Flight Facility, Virginia, USA",1995-10-23,22:03:00,Conestoga-1620,METEOR,Retired,20.0,Failure
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1995-11-12,12:30:00,Space Shuttle Atlantis,STS-74,Retired,450.0,Success
NASA,"LC-39B, Kennedy Space Center, Florida, USA",1996-01-11,09:41:00,Space Shuttle Endeavour,STS-72,Retired,450.0,Success
NASA,"LC-39B, Kennedy Space Center, Florida, USA",1996-02-22,20:18:00,Space Shuttle Columbia,STS-75,Retired,450.0,Success
Northrop,"Stargazer, Vandenberg AFB, California, USA",1996-03-09,01:53:00,Pegasus XL,REX II,Active,40.0,Success
ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",1996-03-21,04:53:00,PSLV-G,IRS-P3,Retired,25.0,Success
NASA,"LC-39B, Kennedy Space Center, Florida, USA",1996-03-22,08:13:00,Space Shuttle Atlantis,STS-76,Retired,450.0,Success
Northrop,"Stargazer, Vandenberg AFB, California, USA",1996-05-17,02:44:00,Pegasus,MSTI-3,Retired,40.0,Success
NASA,"LC-39B, Kennedy Space Center, Florida, USA",1996-05-19,10:30:00,Space Shuttle Endeavour,STS-77,Retired,450.0,Success
NASA,"LC-39B, Kennedy Space Center, Florida, USA",1996-06-20,14:49:00,Space Shuttle Columbia,STS-78,Retired,450.0,Success
Northrop,"Stargazer, Vandenberg AFB, California, USA",1996-07-02,07:48:00,Pegasus XL,TOMS,Active,40.0,Success
Northrop,"Stargazer, Vandenberg AFB, California, USA",1996-08-21,09:47:00,Pegasus XL,FAST,Active,40.0,Success
